date,ticker,expiry,side,strike,volume
2026-07-02,AAPL,2026-07-31,CALL,125.0,2.0
2026-07-02,AAPL,2026-07-31,CALL,130.0,2.0
2026-07-02,AAPL,2026-07-31,CALL,135.0,2.0
2026-07-02,AAPL,2026-07-31,CALL,145.0,2.0
2026-07-02,AAPL,2026-07-31,CALL,150.0,1.0
2026-07-02,AAPL,2026-07-31,CALL,155.0,4.0
2026-07-02,AAPL,2026-07-31,CALL,160.0,3.0
2026-07-02,AAPL,2026-07-31,CALL,165.0,2.0
2026-07-02,AAPL,2026-07-31,CALL,170.0,10.0
2026-07-02,AAPL,2026-07-31,CALL,175.0,10.0
2026-07-02,AAPL,2026-07-31,CALL,180.0,2.0
2026-07-02,AAPL,2026-07-31,CALL,185.0,1.0
2026-07-02,AAPL,2026-07-31,CALL,190.0,3.0
2026-07-02,AAPL,2026-07-31,CALL,195.0,1.0
2026-07-02,AAPL,2026-07-31,CALL,200.0,2.0
2026-07-02,AAPL,2026-07-31,CALL,205.0,8.0
2026-07-02,AAPL,2026-07-31,CALL,210.0,1.0
2026-07-02,AAPL,2026-07-31,CALL,215.0,
2026-07-02,AAPL,2026-07-31,CALL,220.0,20.0
2026-07-02,AAPL,2026-07-31,CALL,225.0,2.0
2026-07-02,AAPL,2026-07-31,CALL,230.0,2.0
2026-07-02,AAPL,2026-07-31,CALL,235.0,1.0
2026-07-02,AAPL,2026-07-31,CALL,240.0,6.0
2026-07-02,AAPL,2026-07-31,CALL,245.0,1.0
2026-07-02,AAPL,2026-07-31,CALL,250.0,51.0
2026-07-02,AAPL,2026-07-31,CALL,255.0,1.0
2026-07-02,AAPL,2026-07-31,CALL,260.0,5.0
2026-07-02,AAPL,2026-07-31,CALL,265.0,1.0
2026-07-02,AAPL,2026-07-31,CALL,270.0,28.0
2026-07-02,AAPL,2026-07-31,CALL,275.0,94.0
2026-07-02,AAPL,2026-07-31,CALL,280.0,367.0
2026-07-02,AAPL,2026-07-31,CALL,285.0,452.0
2026-07-02,AAPL,2026-07-31,CALL,290.0,477.0
2026-07-02,AAPL,2026-07-31,CALL,295.0,1116.0
2026-07-02,AAPL,2026-07-31,CALL,300.0,971.0
2026-07-02,AAPL,2026-07-31,CALL,305.0,445.0
2026-07-02,AAPL,2026-07-31,CALL,310.0,1264.0
2026-07-02,AAPL,2026-07-31,CALL,315.0,265.0
2026-07-02,AAPL,2026-07-31,CALL,320.0,454.0
2026-07-02,AAPL,2026-07-31,CALL,325.0,408.0
2026-07-02,AAPL,2026-07-31,CALL,330.0,665.0
2026-07-02,AAPL,2026-07-31,CALL,335.0,45.0
2026-07-02,AAPL,2026-07-31,CALL,340.0,60.0
2026-07-02,AAPL,2026-07-31,CALL,345.0,8.0
2026-07-02,AAPL,2026-07-31,CALL,350.0,2.0
2026-07-02,AAPL,2026-07-31,CALL,355.0,3.0
2026-07-02,AAPL,2026-07-31,CALL,360.0,1.0
2026-07-02,AAPL,2026-07-31,CALL,365.0,2.0
2026-07-02,AAPL,2026-07-31,CALL,370.0,9.0
2026-07-02,AAPL,2026-07-31,CALL,375.0,1.0
2026-07-02,AAPL,2026-07-31,CALL,385.0,
2026-07-02,AAPL,2026-07-31,CALL,400.0,1.0
2026-07-02,AAPL,2026-07-31,PUT,135.0,2.0
2026-07-02,AAPL,2026-07-31,PUT,140.0,3.0
2026-07-02,AAPL,2026-07-31,PUT,145.0,2.0
2026-07-02,AAPL,2026-07-31,PUT,150.0,2.0
2026-07-02,AAPL,2026-07-31,PUT,155.0,2.0
2026-07-02,AAPL,2026-07-31,PUT,160.0,2.0
2026-07-02,AAPL,2026-07-31,PUT,165.0,4.0
2026-07-02,AAPL,2026-07-31,PUT,170.0,8.0
2026-07-02,AAPL,2026-07-31,PUT,175.0,18.0
2026-07-02,AAPL,2026-07-31,PUT,180.0,4.0
2026-07-02,AAPL,2026-07-31,PUT,185.0,4.0
2026-07-02,AAPL,2026-07-31,PUT,190.0,25.0
2026-07-02,AAPL,2026-07-31,PUT,195.0,1.0
2026-07-02,AAPL,2026-07-31,PUT,200.0,4.0
2026-07-02,AAPL,2026-07-31,PUT,205.0,2.0
2026-07-02,AAPL,2026-07-31,PUT,210.0,4.0
2026-07-02,AAPL,2026-07-31,PUT,215.0,3.0
2026-07-02,AAPL,2026-07-31,PUT,220.0,19.0
2026-07-02,AAPL,2026-07-31,PUT,225.0,2.0
2026-07-02,AAPL,2026-07-31,PUT,230.0,1.0
